SEALED,SEARED,SHARED,SHARES,SHORES,CHORES,CHORUS
SHOOTS,SHORTS,SHORES,SHARES,SHARED,SEARED,NEARED
DEEMED,SEEMED,SEAMED,SEALED,SCALED,SCALES,SCALPS
MISSUS,MISSES,MASSES,LASSES,LAPSES,LAPSED,LAPPED
HERDED,HEADED,HEATED,SEATED,STATED,STATES,STATUS
HANGAR,HANGER,HANKER,HACKER,HACKED,TACKED,TICKED
ACORNS,SCORNS,SCORES,SPORES,SPIRES,SPICES,SPICED
HANGAR,HANGER,HANGED,HINGED,WINGED,WINKED,WICKED
DEEMED,SEEMED,SEAMED,SEATED,STATED,STATES,STATUS
CHORDS,CHORES,SHORES,SHARES,SHARED,SHAVED,SLAVED
SPOUTS,SPORTS,SPORES,SPARES,SPARED,SOARED,ROARED
SOURED,SOARED,SHARED,SHARES,SHARKS,SHANKS,THANKS
SHUCKS,SHACKS,SHARKS,SHARES,SHARED,SEARED,REARED
REAPED,REARED,SEARED,SPARED,SPARES,SPORES,SPORTS
STARTS,STARES,STARED,SOARED,SOURED,POURED,POUTED
THINKS,THANKS,SHANKS,SHARKS,SHARES,SHARED,SEARED
SCALPS,SCALES,SCALED,SEALED,PEALED,PEELED,PEERED
STEWED,STOWED,STORED,STORES,SHORES,CHORES,CHORDS
WADDED,WARDED,WORDED,FORDED,FORGED,FORGET,FORGOT
SHORTS,SHORES,SHARES,SHARED,SEARED,REARED,REAPED
SHUCKS,SHACKS,SHARKS,SHARES,SHARED,SEARED,NEARED
NEARED,SEARED,SHARED,SHARES,SHIRES,SHIRTS,SHIFTS
STARTS,STARES,STARED,SEARED,SEALED,HEALED,HEELED
SHOCKS,SHACKS,SHARKS,SHARES,SHARED,SEARED,NEARED
WETTER,BETTER,BEATER,BEAVER,BRAVER,BRAVES,BRAVOS
HEALED,SEALED,SEARED,SHARED,SHARES,SHIRES,SHIRTS
FORGOT,FORGET,FORGED,FORDED,LORDED,LOADED,LEADED
SEATED,SEARED,SHARED,SHARES,SHORES,CHORES,CHORDS
FORKED,CORKED,COOKED,CHOKED,CHOKES,CHORES,CHORDS
BRAVOS,BRAVES,BRAVER,BEAVER,BEATER,BETTER,LETTER
HEATED,SEATED,SEARED,SHARED,SHARES,SHIRES,SHIRTS
CRANKS,CRANES,CRAVES,GRAVES,GROVES,GLOVES,GLOVED
SCALPS,SCALES,SCALED,SEALED,HEALED,HEADED,HERDED
ROARED,SOARED,SHARED,SHARES,SHORES,SHORTS,SHOUTS
BLONDE,BLONDS,BLENDS,BLEEDS,BREEDS,CREEDS,CREEPS
SHOOTS,SHORTS,SHORES,SHARES,SHARED,SOARED,ROARED
POUTED,POURED,SOURED,SOARED,SHARED,SHARES,SHARKS
BLANKS,PLANKS,PLANES,PLANED,PLAYED,PRAYED,PREYED
PLATED,SLATED,STATED,STARED,STORED,STOREY,STORMY
TUCKED,TACKED,HACKED,HACKER,HANKER,HANGER,HANGAR
STARTS,STARES,STARED,SEARED,SEAMED,SEEMED,TEEMED
HERDED,HEADED,HEALED,SEALED,SCALED,SCALES,SCALPS
CHORDS,CHORES,SHORES,STORES,STORED,STOWED,STEWED
HELPED,HEAPED,HEATED,SEATED,STATED,STATES,STATUS
SHORTS,SHORES,SHARES,SHARED,SOARED,ROARED,ROAMED
SPARKS,SPARES,SPARED,SEARED,SEAMED,SEEMED,TEEMED
WEEDED,WELDED,WELLED,WALLED,WALLET,BALLET,BALLOT
CHORDS,CHORES,SHORES,SHARES,SHARED,SOARED,SOAKED
TEEMED,SEEMED,SEAMED,SEALED,SCALED,SCALES,SCALPS
SPARKS,SPARES,SPARED,SEARED,SEAMED,SEEMED,DEEMED
CHORDS,CHORES,SHORES,SHARES,SHARED,SEARED,SEALED
TICKED,TACKED,HACKED,HACKER,HANKER,HANGER,HANGAR
REAPED,REARED,SEARED,STARED,STORED,STOREY,STORMY
SHOUTS,SHORTS,SHORES,SHARES,SHARED,SEARED,FEARED
SOAKED,SOARED,SHARED,SHARES,SHORES,CHORES,CHORUS
SHOOTS,SHORTS,SHORES,SHARES,SHARED,SEARED,REARED
SPORTS,SPORES,SPARES,SPARED,SEARED,SEATED,HEATED
HEEDED,HEADED,HEATED,SEATED,STATED,STATES,STATUS
REARED,SEARED,SPARED,SPARES,SPORES,SPORTS,SPOUTS
SHIFTS,SHIRTS,SHIRES,SHARES,SHARED,SEARED,FEARED
FORKED,CORKED,COOKED,CHOKED,CHOKES,CHORES,CHORUS
MANORS,MINORS,MINERS,LINERS,LIVERS,LIVERY,LIVELY
SOAKED,SOARED,SHARED,SHARES,SHORES,CHORES,CHORDS
POURED,SOURED,SOARED,SHARED,SHARES,SHARKS,SHANKS
BALLOT,BALLET,WALLET,WALLED,WELLED,WELDED,WEDDED
REARED,SEARED,SHARED,SHARES,SHARKS,SHACKS,SHUCKS
STATUS,STATES,STATED,SEATED,HEATED,HEADED,HEEDED
SHARKS,SHARES,SHARED,SEARED,SEALED,PEALED,PEELED
SPORTS,SPORES,SPARES,SPARED,SEARED,REARED,REAPED
PEALED,SEALED,SEARED,STARED,STORED,STOREY,STORMY
STATUS,STATES,STATED,SEATED,SEAMED,SEEMED,TEEMED
BLAMED,FLAMED,FOAMED,FORMED,FORGED,FORGET,FORGOT
POUTED,POURED,SOURED,SOARED,SPARED,SPARES,SPARKS
LIVELY,LIVERY,LIVERS,LINERS,MINERS,MINORS,MANORS
PEEPED,PEELED,PEALED,SEALED,SCALED,SCALES,SCALPS
SETTLE,SETTEE,SETTER,BETTER,BATTER,BANTER,BANKER
SPORTS,SPORES,SPARES,SPARED,SOARED,ROARED,ROAMED
STORMY,STOREY,STORED,STARED,SEARED,SEAMED,BEAMED
CREEPY,CREEPS,CREEDS,BREEDS,BLEEDS,BLENDS,BLINDS
GLIDED,GLIDES,GLADES,GRADES,GRAVES,BRAVES,BRAVOS
SHORTS,SHORES,CHORES,CHOKES,CHOKED,COOKED,CORKED
FEARED,SEARED,SHARED,SHARES,SHARKS,SHACKS,SHUCKS
BANKER,BANTER,BATTER,BETTER,SETTER,SETTEE,SETTLE
SHIRTS,SHIRES,SHARES,SHARED,SEARED,REARED,REAPED
ROAMED,ROARED,SOARED,STARED,STORED,STOREY,STORMY
HEELED,HEALED,SEALED,SEARED,SPARED,SPARES,SPARKS
SETTLE,SETTEE,SETTER,BETTER,BEATER,BEAVER,BRAVER
PECKED,PEAKED,PEALED,SEALED,SCALED,SCALES,SCALPS
TEEMED,SEEMED,SEAMED,SEATED,STATED,STATES,STATUS
BRAVER,BEAVER,BEATER,BETTER,SETTER,SETTEE,SETTLE
PEELED,PEALED,SEALED,SEATED,STATED,STATES,STATUS
SPOUTS,SPORTS,SPORES,SPARES,SPARED,SEARED,NEARED
BRAVOS,BRAVES,GRAVES,GROVES,GLOVES,GLOVED,GLOWED
SHANKS,SHARKS,SHARES,SHARED,SOARED,SOURED,POURED
PEALED,SEALED,SEARED,SHARED,SHARES,SHORES,SHORTS
TRACKS,TRACES,GRACES,GRAVES,GROVES,GLOVES,GLOVED
DEEMED,SEEMED,SEAMED,SEARED,SPARED,SPARES,SPARKS
TRACTS,TRACES,GRACES,GRAVES,GROVES,GLOVES,GLOVED
SPORTS,SPORES,SPARES,SPARED,SEARED,SEALED,HEALED
HANGAR,HANGER,HANKER,HACKER,HACKED,SACKED,SUCKED
SHOOTS,SHORTS,SHORES,SHARES,SHARED,SEARED,FEARED
SCAMPS,SCALPS,SCALES,SCALED,SEALED,PEALED,PEELED
BLONDS,BLENDS,BLEEDS,BREEDS,CREEDS,CREEPS,CREEPY
SEATED,SEARED,SHARED,SHARES,SHORES,CHORES,CHORUS
SIGNED,SINNED,SINGED,HINGED,HANGED,HANGER,HANGAR
FEARED,SEARED,SPARED,SPARES,SPORES,SPORTS,SPOUTS
BALLOT,BALLET,WALLET,WALLED,WELLED,WELDED,WEEDED
